time_s,x_mm,y_mm,z_mm,odor_conc
0.0,10.0,10.0,5.0,1.1253517471925912e-07
0.01,10.0,10.0,5.0,1.1253517471925912e-07
0.02,10.0,10.0,5.0,1.1253517471925912e-07
0.03,10.0,10.0,5.0,1.1253517471925912e-07
0.04,10.0,10.0,5.0,1.1253517471925912e-07
0.05,10.0,10.0,5.0,1.1253517471925912e-07
0.06,10.0,10.0,5.0,1.1253517471925912e-07
0.07,10.0,10.0,5.0,1.1253517471925912e-07
0.08,10.0,10.0,5.0,1.1253517471925912e-07
0.09,10.0,10.0,5.0,1.1253517471925912e-07
0.1,10.0,10.0,5.0,1.1253517471925912e-07
0.11,10.0,10.0,5.0,1.1253517471925912e-07
0.12,10.0,10.0,5.0,1.1253517471925912e-07
0.13,10.0,10.0,5.0,1.1253517471925912e-07
0.14,10.0,10.0,5.0,1.1253517471925912e-07
0.15,10.0,10.0,5.0,1.1253517471925912e-07
0.16,10.0,10.0,5.0,1.1253517471925912e-07
0.17,10.0,10.0,5.0,1.1253517471925912e-07
0.18,10.0,10.0,5.0,1.1253517471925912e-07
0.19,10.0,10.0,5.0,1.1253517471925912e-07
0.2,10.0,10.0,5.0,1.1253517471925912e-07
0.21,10.0,10.0,5.0,1.1253517471925912e-07
0.22,10.0,10.0,5.0,1.1253517471925912e-07
0.23,10.0,10.0,5.0,1.1253517471925912e-07
0.24,10.0,10.0,5.0,1.1253517471925912e-07
0.25,10.0,10.0,5.0,1.1253517471925912e-07
0.26,10.0,10.0,5.0,1.1253517471925912e-07
0.27,10.0,10.0,5.0,1.1253517471925912e-07
0.28,10.0,10.0,5.0,1.1253517471925912e-07
0.29,10.0,10.0,5.0,1.1253517471925912e-07
0.3,10.0,10.0,5.0,1.1253517471925912e-07
0.31,10.0,10.0,5.0,1.1253517471925912e-07
0.32,10.0,10.0,5.0,1.1253517471925912e-07
0.33,10.0,10.0,5.0,1.1253517471925912e-07
0.34,10.0,10.0,5.0,1.1253517471925912e-07
0.35000000000000003,10.0,10.0,5.0,1.1253517471925912e-07
0.36,10.0,10.0,5.0,1.1253517471925912e-07
0.37,10.0,10.0,5.0,1.1253517471925912e-07
0.38,10.0,10.0,5.0,1.1253517471925912e-07
0.39,10.0,10.0,5.0,1.1253517471925912e-07
0.4,10.0,10.0,5.0,1.1253517471925912e-07
0.41000000000000003,10.0,10.0,5.0,1.1253517471925912e-07
0.42,10.0,10.0,5.0,1.1253517471925912e-07
0.43,10.0,10.0,5.0,1.1253517471925912e-07
0.44,10.0,10.0,5.0,1.1253517471925912e-07
0.45,10.0,10.0,5.0,1.1253517471925912e-07
0.46,10.0,10.0,5.0,1.1253517471925912e-07
0.47000000000000003,10.0,10.0,5.0,1.1253517471925912e-07
0.48,10.0,10.0,5.0,1.1253517471925912e-07
0.49,10.0,10.0,5.0,1.1253517471925912e-07
0.5,10.0,10.0,5.0,1.1253517471925912e-07
0.51,10.0,10.0,5.0,1.1253517471925912e-07
0.52,10.0,10.0,5.0,1.1253517471925912e-07
0.53,10.0,10.0,5.0,1.1253517471925912e-07
0.54,10.0,10.0,5.0,1.1253517471925912e-07
0.55,10.0,10.0,5.0,1.1253517471925912e-07
0.56,10.0,10.0,5.0,1.1253517471925912e-07
0.5700000000000001,10.0,10.0,5.0,1.1253517471925912e-07
0.58,10.0,10.0,5.0,1.1253517471925912e-07
0.59,10.0,10.0,5.0,1.1253517471925912e-07
0.6,10.0,10.0,5.0,1.1253517471925912e-07
0.61,10.0,10.0,5.0,1.1253517471925912e-07
0.62,10.0,10.0,5.0,1.1253517471925912e-07
0.63,10.0,10.0,5.0,1.1253517471925912e-07
0.64,10.0,10.0,5.0,1.1253517471925912e-07
0.65,10.0,10.0,5.0,1.1253517471925912e-07
0.66,10.0,10.0,5.0,1.1253517471925912e-07
0.67,10.0,10.0,5.0,1.1253517471925912e-07
0.68,10.0,10.0,5.0,1.1253517471925912e-07
0.6900000000000001,10.0,10.0,5.0,1.1253517471925912e-07
0.7000000000000001,10.0,10.0,5.0,1.1253517471925912e-07
0.71,10.0,10.0,5.0,1.1253517471925912e-07
0.72,10.0,10.0,5.0,1.1253517471925912e-07
0.73,10.0,10.0,5.0,1.1253517471925912e-07
0.74,10.0,10.0,5.0,1.1253517471925912e-07
0.75,10.0,10.0,5.0,1.1253517471925912e-07
0.76,10.0,10.0,5.0,1.1253517471925912e-07
0.77,10.0,10.0,5.0,1.1253517471925912e-07
0.78,10.0,10.0,5.0,1.1253517471925912e-07
0.79,10.0,10.0,5.0,1.1253517471925912e-07
0.8,10.0,10.0,5.0,1.1253517471925912e-07
0.81,10.0,10.0,5.0,1.1253517471925912e-07
0.8200000000000001,10.0,10.0,5.0,1.1253517471925912e-07
0.8300000000000001,10.0,10.0,5.0,1.1253517471925912e-07
0.84,10.0,10.0,5.0,1.1253517471925912e-07
0.85,10.0,10.0,5.0,1.1253517471925912e-07
0.86,10.0,10.0,5.0,1.1253517471925912e-07
0.87,10.0,10.0,5.0,1.1253517471925912e-07
0.88,10.0,10.0,5.0,1.1253517471925912e-07
0.89,10.0,10.0,5.0,1.1253517471925912e-07
0.9,10.0,10.0,5.0,1.1253517471925912e-07
0.91,10.0,10.0,5.0,1.1253517471925912e-07
0.92,10.0,10.0,5.0,1.1253517471925912e-07
0.93,10.0,10.0,5.0,1.1253517471925912e-07
0.9400000000000001,10.0,10.0,5.0,1.1253517471925912e-07
0.9500000000000001,10.0,10.0,5.0,1.1253517471925912e-07
0.96,10.0,10.0,5.0,1.1253517471925912e-07
0.97,10.0,10.0,5.0,1.1253517471925912e-07
0.98,10.0,10.0,5.0,1.1253517471925912e-07
0.99,10.0,10.0,5.0,1.1253517471925912e-07
1.0,10.0,10.0,5.0,1.1253517471925912e-07
1.01,10.0,10.0,5.0,1.1253517471925912e-07
1.02,10.0,10.0,5.0,1.1253517471925912e-07
1.03,10.0,10.0,5.0,1.1253517471925912e-07
1.04,10.0,10.0,5.0,1.1253517471925912e-07
1.05,10.0,10.0,5.0,1.1253517471925912e-07
1.06,10.0,10.0,5.0,1.1253517471925912e-07
1.07,10.0,10.0,5.0,1.1253517471925912e-07
1.08,10.0,10.0,5.0,1.1253517471925912e-07
1.09,10.0,10.0,5.0,1.1253517471925912e-07
1.1,10.0,10.0,5.0,1.1253517471925912e-07
1.11,10.0,10.0,5.0,1.1253517471925912e-07
1.12,10.0,10.0,5.0,1.1253517471925912e-07
1.1300000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.1400000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.1500000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.16,10.0,10.0,5.0,1.1253517471925912e-07
1.17,10.0,10.0,5.0,1.1253517471925912e-07
1.18,10.0,10.0,5.0,1.1253517471925912e-07
1.19,10.0,10.0,5.0,1.1253517471925912e-07
1.2,10.0,10.0,5.0,1.1253517471925912e-07
1.21,10.0,10.0,5.0,1.1253517471925912e-07
1.22,10.0,10.0,5.0,1.1253517471925912e-07
1.23,10.0,10.0,5.0,1.1253517471925912e-07
1.24,10.0,10.0,5.0,1.1253517471925912e-07
1.25,10.0,10.0,5.0,1.1253517471925912e-07
1.26,10.0,10.0,5.0,1.1253517471925912e-07
1.27,10.0,10.0,5.0,1.1253517471925912e-07
1.28,10.0,10.0,5.0,1.1253517471925912e-07
1.29,10.0,10.0,5.0,1.1253517471925912e-07
1.3,10.0,10.0,5.0,1.1253517471925912e-07
1.31,10.0,10.0,5.0,1.1253517471925912e-07
1.32,10.0,10.0,5.0,1.1253517471925912e-07
1.33,10.0,10.0,5.0,1.1253517471925912e-07
1.34,10.0,10.0,5.0,1.1253517471925912e-07
1.35,10.0,10.0,5.0,1.1253517471925912e-07
1.36,10.0,10.0,5.0,1.1253517471925912e-07
1.37,10.0,10.0,5.0,1.1253517471925912e-07
1.3800000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.3900000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.4000000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.41,10.0,10.0,5.0,1.1253517471925912e-07
1.42,10.0,10.0,5.0,1.1253517471925912e-07
1.43,10.0,10.0,5.0,1.1253517471925912e-07
1.44,10.0,10.0,5.0,1.1253517471925912e-07
1.45,10.0,10.0,5.0,1.1253517471925912e-07
1.46,10.0,10.0,5.0,1.1253517471925912e-07
1.47,10.0,10.0,5.0,1.1253517471925912e-07
1.48,10.0,10.0,5.0,1.1253517471925912e-07
1.49,10.0,10.0,5.0,1.1253517471925912e-07
1.5,10.0,10.0,5.0,1.1253517471925912e-07
1.51,10.0,10.0,5.0,1.1253517471925912e-07
1.52,10.0,10.0,5.0,1.1253517471925912e-07
1.53,10.0,10.0,5.0,1.1253517471925912e-07
1.54,10.0,10.0,5.0,1.1253517471925912e-07
1.55,10.0,10.0,5.0,1.1253517471925912e-07
1.56,10.0,10.0,5.0,1.1253517471925912e-07
1.57,10.0,10.0,5.0,1.1253517471925912e-07
1.58,10.0,10.0,5.0,1.1253517471925912e-07
1.59,10.0,10.0,5.0,1.1253517471925912e-07
1.6,10.0,10.0,5.0,1.1253517471925912e-07
1.61,10.0,10.0,5.0,1.1253517471925912e-07
1.62,10.0,10.0,5.0,1.1253517471925912e-07
1.6300000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.6400000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.6500000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.6600000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.67,10.0,10.0,5.0,1.1253517471925912e-07
1.68,10.0,10.0,5.0,1.1253517471925912e-07
1.69,10.0,10.0,5.0,1.1253517471925912e-07
1.7,10.0,10.0,5.0,1.1253517471925912e-07
1.71,10.0,10.0,5.0,1.1253517471925912e-07
1.72,10.0,10.0,5.0,1.1253517471925912e-07
1.73,10.0,10.0,5.0,1.1253517471925912e-07
1.74,10.0,10.0,5.0,1.1253517471925912e-07
1.75,10.0,10.0,5.0,1.1253517471925912e-07
1.76,10.0,10.0,5.0,1.1253517471925912e-07
1.77,10.0,10.0,5.0,1.1253517471925912e-07
1.78,10.0,10.0,5.0,1.1253517471925912e-07
1.79,10.0,10.0,5.0,1.1253517471925912e-07
1.8,10.0,10.0,5.0,1.1253517471925912e-07
1.81,10.0,10.0,5.0,1.1253517471925912e-07
1.82,10.0,10.0,5.0,1.1253517471925912e-07
1.83,10.0,10.0,5.0,1.1253517471925912e-07
1.84,10.0,10.0,5.0,1.1253517471925912e-07
1.85,10.0,10.0,5.0,1.1253517471925912e-07
1.86,10.0,10.0,5.0,1.1253517471925912e-07
1.87,10.0,10.0,5.0,1.1253517471925912e-07
1.8800000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.8900000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.9000000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.9100000000000001,10.0,10.0,5.0,1.1253517471925912e-07
1.92,10.0,10.0,5.0,1.1253517471925912e-07
1.93,10.0,10.0,5.0,1.1253517471925912e-07
1.94,10.0,10.0,5.0,1.1253517471925912e-07
1.95,10.0,10.0,5.0,1.1253517471925912e-07
1.96,10.0,10.0,5.0,1.1253517471925912e-07
1.97,10.0,10.0,5.0,1.1253517471925912e-07
1.98,10.0,10.0,5.0,1.1253517471925912e-07
1.99,10.0,10.0,5.0,1.1253517471925912e-07
2.0,10.0,10.0,5.0,1.1253517471925912e-07
2.0100000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.02,10.0,10.0,5.0,1.1253517471925912e-07
2.0300000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.04,10.0,10.0,5.0,1.1253517471925912e-07
2.05,10.0,10.0,5.0,1.1253517471925912e-07
2.06,10.0,10.0,5.0,1.1253517471925912e-07
2.07,10.0,10.0,5.0,1.1253517471925912e-07
2.08,10.0,10.0,5.0,1.1253517471925912e-07
2.09,10.0,10.0,5.0,1.1253517471925912e-07
2.1,10.0,10.0,5.0,1.1253517471925912e-07
2.11,10.0,10.0,5.0,1.1253517471925912e-07
2.12,10.0,10.0,5.0,1.1253517471925912e-07
2.13,10.0,10.0,5.0,1.1253517471925912e-07
2.14,10.0,10.0,5.0,1.1253517471925912e-07
2.15,10.0,10.0,5.0,1.1253517471925912e-07
2.16,10.0,10.0,5.0,1.1253517471925912e-07
2.17,10.0,10.0,5.0,1.1253517471925912e-07
2.18,10.0,10.0,5.0,1.1253517471925912e-07
2.19,10.0,10.0,5.0,1.1253517471925912e-07
2.2,10.0,10.0,5.0,1.1253517471925912e-07
2.21,10.0,10.0,5.0,1.1253517471925912e-07
2.22,10.0,10.0,5.0,1.1253517471925912e-07
2.23,10.0,10.0,5.0,1.1253517471925912e-07
2.24,10.0,10.0,5.0,1.1253517471925912e-07
2.25,10.0,10.0,5.0,1.1253517471925912e-07
2.2600000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.27,10.0,10.0,5.0,1.1253517471925912e-07
2.2800000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.29,10.0,10.0,5.0,1.1253517471925912e-07
2.3000000000000003,10.0,10.0,5.0,1.1253517471925912e-07
2.31,10.0,10.0,5.0,1.1253517471925912e-07
2.32,10.0,10.0,5.0,1.1253517471925912e-07
2.33,10.0,10.0,5.0,1.1253517471925912e-07
2.34,10.0,10.0,5.0,1.1253517471925912e-07
2.35,10.0,10.0,5.0,1.1253517471925912e-07
2.36,10.0,10.0,5.0,1.1253517471925912e-07
2.37,10.0,10.0,5.0,1.1253517471925912e-07
2.38,10.0,10.0,5.0,1.1253517471925912e-07
2.39,10.0,10.0,5.0,1.1253517471925912e-07
2.4,10.0,10.0,5.0,1.1253517471925912e-07
2.41,10.0,10.0,5.0,1.1253517471925912e-07
2.42,10.0,10.0,5.0,1.1253517471925912e-07
2.43,10.0,10.0,5.0,1.1253517471925912e-07
2.44,10.0,10.0,5.0,1.1253517471925912e-07
2.45,10.0,10.0,5.0,1.1253517471925912e-07
2.46,10.0,10.0,5.0,1.1253517471925912e-07
2.47,10.0,10.0,5.0,1.1253517471925912e-07
2.48,10.0,10.0,5.0,1.1253517471925912e-07
2.49,10.0,10.0,5.0,1.1253517471925912e-07
2.5,10.0,10.0,5.0,1.1253517471925912e-07
2.5100000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.52,10.0,10.0,5.0,1.1253517471925912e-07
2.5300000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.54,10.0,10.0,5.0,1.1253517471925912e-07
2.5500000000000003,10.0,10.0,5.0,1.1253517471925912e-07
2.56,10.0,10.0,5.0,1.1253517471925912e-07
2.57,10.0,10.0,5.0,1.1253517471925912e-07
2.58,10.0,10.0,5.0,1.1253517471925912e-07
2.59,10.0,10.0,5.0,1.1253517471925912e-07
2.6,10.0,10.0,5.0,1.1253517471925912e-07
2.61,10.0,10.0,5.0,1.1253517471925912e-07
2.62,10.0,10.0,5.0,1.1253517471925912e-07
2.63,10.0,10.0,5.0,1.1253517471925912e-07
2.64,10.0,10.0,5.0,1.1253517471925912e-07
2.65,10.0,10.0,5.0,1.1253517471925912e-07
2.66,10.0,10.0,5.0,1.1253517471925912e-07
2.67,10.0,10.0,5.0,1.1253517471925912e-07
2.68,10.0,10.0,5.0,1.1253517471925912e-07
2.69,10.0,10.0,5.0,1.1253517471925912e-07
2.7,10.0,10.0,5.0,1.1253517471925912e-07
2.71,10.0,10.0,5.0,1.1253517471925912e-07
2.72,10.0,10.0,5.0,1.1253517471925912e-07
2.73,10.0,10.0,5.0,1.1253517471925912e-07
2.74,10.0,10.0,5.0,1.1253517471925912e-07
2.75,10.0,10.0,5.0,1.1253517471925912e-07
2.7600000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.77,10.0,10.0,5.0,1.1253517471925912e-07
2.7800000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.79,10.0,10.0,5.0,1.1253517471925912e-07
2.8000000000000003,10.0,10.0,5.0,1.1253517471925912e-07
2.81,10.0,10.0,5.0,1.1253517471925912e-07
2.82,10.0,10.0,5.0,1.1253517471925912e-07
2.83,10.0,10.0,5.0,1.1253517471925912e-07
2.84,10.0,10.0,5.0,1.1253517471925912e-07
2.85,10.0,10.0,5.0,1.1253517471925912e-07
2.86,10.0,10.0,5.0,1.1253517471925912e-07
2.87,10.0,10.0,5.0,1.1253517471925912e-07
2.88,10.0,10.0,5.0,1.1253517471925912e-07
2.89,10.0,10.0,5.0,1.1253517471925912e-07
2.9,10.0,10.0,5.0,1.1253517471925912e-07
2.91,10.0,10.0,5.0,1.1253517471925912e-07
2.92,10.0,10.0,5.0,1.1253517471925912e-07
2.93,10.0,10.0,5.0,1.1253517471925912e-07
2.94,10.0,10.0,5.0,1.1253517471925912e-07
2.95,10.0,10.0,5.0,1.1253517471925912e-07
2.96,10.0,10.0,5.0,1.1253517471925912e-07
2.97,10.0,10.0,5.0,1.1253517471925912e-07
2.98,10.0,10.0,5.0,1.1253517471925912e-07
2.99,10.0,10.0,5.0,1.1253517471925912e-07
3.0,10.0,10.0,5.0,1.1253517471925912e-07
3.0100000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.02,10.0,10.0,5.0,1.1253517471925912e-07
3.0300000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.04,10.0,10.0,5.0,1.1253517471925912e-07
3.0500000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.06,10.0,10.0,5.0,1.1253517471925912e-07
3.0700000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.08,10.0,10.0,5.0,1.1253517471925912e-07
3.09,10.0,10.0,5.0,1.1253517471925912e-07
3.1,10.0,10.0,5.0,1.1253517471925912e-07
3.11,10.0,10.0,5.0,1.1253517471925912e-07
3.12,10.0,10.0,5.0,1.1253517471925912e-07
3.13,10.0,10.0,5.0,1.1253517471925912e-07
3.14,10.0,10.0,5.0,1.1253517471925912e-07
3.15,10.0,10.0,5.0,1.1253517471925912e-07
3.16,10.0,10.0,5.0,1.1253517471925912e-07
3.17,10.0,10.0,5.0,1.1253517471925912e-07
3.18,10.0,10.0,5.0,1.1253517471925912e-07
3.19,10.0,10.0,5.0,1.1253517471925912e-07
3.2,10.0,10.0,5.0,1.1253517471925912e-07
3.21,10.0,10.0,5.0,1.1253517471925912e-07
3.22,10.0,10.0,5.0,1.1253517471925912e-07
3.23,10.0,10.0,5.0,1.1253517471925912e-07
3.24,10.0,10.0,5.0,1.1253517471925912e-07
3.25,10.0,10.0,5.0,1.1253517471925912e-07
3.2600000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.27,10.0,10.0,5.0,1.1253517471925912e-07
3.2800000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.29,10.0,10.0,5.0,1.1253517471925912e-07
3.3000000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.31,10.0,10.0,5.0,1.1253517471925912e-07
3.3200000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.33,10.0,10.0,5.0,1.1253517471925912e-07
3.34,10.0,10.0,5.0,1.1253517471925912e-07
3.35,10.0,10.0,5.0,1.1253517471925912e-07
3.36,10.0,10.0,5.0,1.1253517471925912e-07
3.37,10.0,10.0,5.0,1.1253517471925912e-07
3.38,10.0,10.0,5.0,1.1253517471925912e-07
3.39,10.0,10.0,5.0,1.1253517471925912e-07
3.4,10.0,10.0,5.0,1.1253517471925912e-07
3.41,10.0,10.0,5.0,1.1253517471925912e-07
3.42,10.0,10.0,5.0,1.1253517471925912e-07
3.43,10.0,10.0,5.0,1.1253517471925912e-07
3.44,10.0,10.0,5.0,1.1253517471925912e-07
3.45,10.0,10.0,5.0,1.1253517471925912e-07
3.46,10.0,10.0,5.0,1.1253517471925912e-07
3.47,10.0,10.0,5.0,1.1253517471925912e-07
3.48,10.0,10.0,5.0,1.1253517471925912e-07
3.49,10.0,10.0,5.0,1.1253517471925912e-07
3.5,10.0,10.0,5.0,1.1253517471925912e-07
3.5100000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.52,10.0,10.0,5.0,1.1253517471925912e-07
3.5300000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.54,10.0,10.0,5.0,1.1253517471925912e-07
3.5500000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.56,10.0,10.0,5.0,1.1253517471925912e-07
3.5700000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.58,10.0,10.0,5.0,1.1253517471925912e-07
3.59,10.0,10.0,5.0,1.1253517471925912e-07
3.6,10.0,10.0,5.0,1.1253517471925912e-07
3.61,10.0,10.0,5.0,1.1253517471925912e-07
3.62,10.0,10.0,5.0,1.1253517471925912e-07
3.63,10.0,10.0,5.0,1.1253517471925912e-07
3.64,10.0,10.0,5.0,1.1253517471925912e-07
3.65,10.0,10.0,5.0,1.1253517471925912e-07
3.66,10.0,10.0,5.0,1.1253517471925912e-07
3.67,10.0,10.0,5.0,1.1253517471925912e-07
3.68,10.0,10.0,5.0,1.1253517471925912e-07
3.69,10.0,10.0,5.0,1.1253517471925912e-07
3.7,10.0,10.0,5.0,1.1253517471925912e-07
3.71,10.0,10.0,5.0,1.1253517471925912e-07
3.72,10.0,10.0,5.0,1.1253517471925912e-07
3.73,10.0,10.0,5.0,1.1253517471925912e-07
3.74,10.0,10.0,5.0,1.1253517471925912e-07
3.75,10.0,10.0,5.0,1.1253517471925912e-07
3.7600000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.77,10.0,10.0,5.0,1.1253517471925912e-07
3.7800000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.79,10.0,10.0,5.0,1.1253517471925912e-07
3.8000000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.81,10.0,10.0,5.0,1.1253517471925912e-07
3.8200000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.83,10.0,10.0,5.0,1.1253517471925912e-07
3.84,10.0,10.0,5.0,1.1253517471925912e-07
3.85,10.0,10.0,5.0,1.1253517471925912e-07
3.86,10.0,10.0,5.0,1.1253517471925912e-07
3.87,10.0,10.0,5.0,1.1253517471925912e-07
3.88,10.0,10.0,5.0,1.1253517471925912e-07
3.89,10.0,10.0,5.0,1.1253517471925912e-07
3.9,10.0,10.0,5.0,1.1253517471925912e-07
3.91,10.0,10.0,5.0,1.1253517471925912e-07
3.92,10.0,10.0,5.0,1.1253517471925912e-07
3.93,10.0,10.0,5.0,1.1253517471925912e-07
3.94,10.0,10.0,5.0,1.1253517471925912e-07
3.95,10.0,10.0,5.0,1.1253517471925912e-07
3.96,10.0,10.0,5.0,1.1253517471925912e-07
3.97,10.0,10.0,5.0,1.1253517471925912e-07
3.98,10.0,10.0,5.0,1.1253517471925912e-07
3.99,10.0,10.0,5.0,1.1253517471925912e-07
4.0,10.0,10.0,5.0,1.1253517471925912e-07
4.01,10.0,10.0,5.0,1.1253517471925912e-07
4.0200000000000005,10.0,10.0,5.0,1.1253517471925912e-07
